epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,136.7,0.00465,0.00799,0.47348,0.9235,0.94076,0.69075,0.85326,0.56237,0.3,0.3913,0.25948,0.11704,0.00987,0.09715,1.6388,1.6144,0.0088781,0.000878103,0.000878103
94,139.712,0.0037,0.00707,0.40624,0.87748,0.85945,0.82609,0.82775,0.55225,0.32258,0.43478,0.26806,0.10282,0.00964,0.10196,1.69169,1.5905,0.00788719,0.000887187,0.000887187
95,145.546,0.00374,0.00675,0.41539,0.88266,0.88805,0.69008,0.8486,0.56811,0.23333,0.30435,0.18009,0.08365,0.00952,0.11107,1.73758,1.51413,0.00689626,0.000896262,0.000896262
96,146.775,0.00369,0.00835,0.41622,0.88556,0.92742,0.73913,0.8586,0.57026,0.25676,0.26087,0.15525,0.07394,0.00943,0.11646,1.85653,1.55547,0.00590533,0.000905326,0.000905326
97,148.355,0.00366,0.00655,0.41797,0.87972,0.85491,0.82609,0.85896,0.54089,0.26096,0.24609,0.14938,0.06815,0.00966,0.11676,1.67908,1.66693,0.00491438,0.000914381,0.000914381
98,149.864,0.00374,0.0074,0.41795,0.85288,0.84842,0.73041,0.85175,0.54082,0.19579,0.21739,0.10211,0.05537,0.00957,0.11966,1.48178,1.6716,0.00392343,0.000923425,0.000923425
99,151.246,0.00352,0.00562,0.42214,0.87459,0.86377,0.82709,0.87323,0.54756,0.125,0.21739,0.12208,0.03543,0.00976,0.11266,1.21091,1.7072,0.00293246,0.00093246,0.00093246
100,152.373,0.00395,0.00641,0.423,0.87525,0.89907,0.77495,0.85067,0.52181,0.19363,0.16733,0.07245,0.01878,0.0101,0.09568,1.31251,1.74844,0.00194149,0.000941485,0.000941485
101,153.517,0.00403,0.00646,0.41664,0.87303,1,0.73367,0.90572,0.53762,0.36681,0.26087,0.19197,0.0633,0.01,0.07887,1.43756,1.73244,0.0009505,0.0009505,0.0009505
102,154.776,0.00399,0.00834,0.44375,0.90153,1,0.73857,0.88867,0.54054,0.36908,0.34783,0.26172,0.09966,0.00988,0.07143,1.29479,1.71524,0.000950005,0.000950005,0.000950005
103,156.173,0.00363,0.00694,0.41528,0.86734,0.86674,0.78261,0.91202,0.5287,0.66897,0.6087,0.61027,0.19237,0.01033,0.06032,1.16974,1.76385,0.00094951,0.00094951,0.00094951
104,157.299,0.0037,0.00621,0.428,0.86196,0.78906,0.73913,0.828,0.51473,0.69263,0.65217,0.66113,0.23318,0.01064,0.05414,1.15582,1.80747,0.000949015,0.000949015,0.000949015
105,158.424,0.00421,0.00788,0.42223,0.88711,0.88454,0.65217,0.81117,0.52845,0.80517,0.3913,0.53957,0.2137,0.0098,0.0533,1.35758,1.65058,0.00094852,0.00094852,0.00094852
106,159.546,0.00372,0.00779,0.39322,0.88095,0.95919,0.65217,0.80611,0.52126,0.6544,0.3913,0.43499,0.20736,0.00956,0.05623,1.52876,1.56928,0.000948025,0.000948025,0.000948025
107,161.715,0.00398,0.0077,0.42399,0.88047,0.99104,0.69565,0.79487,0.52258,0.55079,0.3913,0.29746,0.16505,0.00936,0.05683,1.62478,1.56847,0.00094753,0.00094753,0.00094753
108,163.044,0.00405,0.00757,0.42353,0.89973,0.93028,0.65217,0.68477,0.44135,0.69844,0.50414,0.4681,0.18842,0.00979,0.05661,2.13358,1.71509,0.000947035,0.000947035,0.000947035
109,164.29,0.00407,0.00672,0.41482,0.89493,1,0.60817,0.69498,0.44645,0.77721,0.52174,0.48063,0.19141,0.01052,0.05151,1.90442,1.80118,0.00094654,0.00094654,0.00094654
110,165.431,0.00392,0.00625,0.40169,0.8838,0.91554,0.6087,0.75318,0.48534,0.84909,0.56522,0.60546,0.26306,0.0098,0.04531,1.72459,1.71097,0.000946045,0.000946045,0.000946045
111,166.598,0.00393,0.00692,0.43602,0.90347,1,0.68664,0.85226,0.54045,0.71087,0.6087,0.61354,0.34136,0.00964,0.03762,1.31744,1.62264,0.00094555,0.00094555,0.00094555
