epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,329.599,0.00372,0.00635,0.45378,0.99434,0.6675,0.6692,0.66652,0.47494,0.70715,0.70834,0.74661,0.50538,0.00648,0.01221,1.27083,1.33254,0.00094951,0.00094951,0.00094951
104,332.584,0.00368,0.00669,0.44852,0.98954,0.69766,0.58667,0.61918,0.45538,0.7208,0.61333,0.65395,0.46233,0.00661,0.01263,1.30923,1.28969,0.000949015,0.000949015,0.000949015
105,335.503,0.00394,0.00702,0.48871,1.01911,0.67995,0.57333,0.61963,0.46228,0.69576,0.58667,0.65919,0.48436,0.00685,0.01264,1.55651,1.34641,0.00094852,0.00094852,0.00094852
106,338.456,0.00392,0.00706,0.48888,1.03084,0.81033,0.56968,0.6944,0.54167,0.82887,0.5813,0.71793,0.5306,0.00598,0.01225,1.24922,1.19884,0.000948025,0.000948025,0.000948025
107,341.473,0.00366,0.00721,0.44068,0.98668,0.84426,0.65053,0.76489,0.59366,0.86151,0.66358,0.78771,0.57488,0.00576,0.01268,1.10719,1.14865,0.00094753,0.00094753,0.00094753
108,344.44,0.00365,0.0069,0.45979,0.99799,0.76564,0.74667,0.78941,0.62585,0.77931,0.76,0.80208,0.61964,0.0057,0.01231,1.05742,1.18584,0.000947035,0.000947035,0.000947035
109,347.433,0.00365,0.00699,0.47061,0.98973,0.85687,0.71844,0.7743,0.60747,0.87274,0.73152,0.7921,0.59454,0.0053,0.01058,1.0615,1.15996,0.00094654,0.00094654,0.00094654
110,350.454,0.00375,0.00628,0.45978,1.01839,0.80015,0.65333,0.71508,0.53304,0.81648,0.66667,0.74069,0.54596,0.00605,0.01177,1.34794,1.21666,0.000946045,0.000946045,0.000946045
111,353.749,0.00339,0.00735,0.42817,0.97247,0.73151,0.68,0.70371,0.56698,0.7238,0.68,0.71049,0.57077,0.00565,0.01138,1.2377,1.15865,0.00094555,0.00094555,0.00094555
112,356.716,0.00353,0.00656,0.42959,0.98088,0.68708,0.57333,0.63764,0.4916,0.70306,0.58667,0.6504,0.43622,0.00624,0.01455,1.37871,1.25947,0.000945055,0.000945055,0.000945055
113,359.67,0.00376,0.00713,0.45921,0.99717,0.89574,0.57279,0.70597,0.55446,0.87394,0.5547,0.68711,0.46322,0.00579,0.01453,1.28267,1.20331,0.00094456,0.00094456,0.00094456
114,362.665,0.00394,0.00724,0.46809,1.00752,0.90248,0.61698,0.73996,0.57471,0.90248,0.61698,0.75099,0.53148,0.00498,0.01258,1.09574,1.08911,0.000944065,0.000944065,0.000944065
115,365.627,0.00389,0.0074,0.46693,1.01459,0.80659,0.58667,0.69351,0.5412,0.78825,0.57333,0.67987,0.46266,0.005,0.01414,1.1332,1.08949,0.00094357,0.00094357,0.00094357
116,368.65,0.00376,0.00669,0.46951,1.00297,0.65205,0.56,0.65836,0.51521,0.67742,0.58803,0.69021,0.43789,0.00535,0.01455,1.17266,1.15258,0.000943075,0.000943075,0.000943075
117,371.615,0.00364,0.00685,0.45964,0.99814,0.62778,0.56,0.61137,0.48507,0.66304,0.58667,0.6557,0.45488,0.00585,0.01299,1.32388,1.23553,0.00094258,0.00094258,0.00094258
118,374.574,0.00348,0.00687,0.42868,0.98432,0.8409,0.64,0.7634,0.62344,0.87594,0.66667,0.78871,0.59134,0.00523,0.01299,0.98544,1.14375,0.000942085,0.000942085,0.000942085
119,377.607,0.00359,0.00667,0.45387,0.97855,0.72226,0.69345,0.70375,0.56783,0.76454,0.72,0.75806,0.536,0.00606,0.0144,1.10749,1.25775,0.00094159,0.00094159,0.00094159
120,380.607,0.0036,0.00672,0.43593,1.00955,0.69788,0.68,0.66595,0.50388,0.72116,0.66667,0.69548,0.46929,0.00623,0.0149,1.08384,1.2959,0.000941095,0.000941095,0.000941095
121,383.853,0.00353,0.00625,0.41935,0.98557,0.69373,0.73333,0.69955,0.50147,0.76269,0.66667,0.7255,0.43608,0.00611,0.01883,1.14646,1.24219,0.0009406,0.0009406,0.0009406
122,386.872,0.00354,0.00728,0.42788,1.00541,0.73095,0.64,0.69186,0.512,0.74617,0.65333,0.70781,0.42733,0.00663,0.01978,1.40624,1.33244,0.000940105,0.000940105,0.000940105
123,389.79,0.00349,0.00649,0.42202,1.01433,0.84674,0.64,0.73676,0.55506,0.84674,0.64,0.73874,0.52843,0.00607,0.0146,1.18241,1.1819,0.00093961,0.00093961,0.00093961
124,392.812,0.00367,0.00634,0.45433,1.00065,0.80202,0.70667,0.78803,0.60927,0.81805,0.72,0.80157,0.62087,0.00574,0.0113,1.01245,1.12023,0.000939115,0.000939115,0.000939115
125,395.788,0.00352,0.00676,0.45593,0.98301,0.92689,0.67618,0.83295,0.6526,0.94516,0.68951,0.83537,0.65046,0.00575,0.01081,1.0272,1.19748,0.00093862,0.00093862,0.00093862
126,398.972,0.00347,0.00658,0.43888,0.98001,0.8406,0.76,0.83772,0.67637,0.86662,0.76,0.8362,0.65887,0.00516,0.01093,0.91034,1.07499,0.000938125,0.000938125,0.000938125
127,402.14,0.00345,0.00629,0.41531,0.97186,0.90269,0.70667,0.81068,0.61702,0.91291,0.72,0.80456,0.6217,0.00564,0.01187,1.02825,1.21127,0.00093763,0.00093763,0.00093763
